step,req_id,mode,selected_models,executed_models,predicted_label,ground_truth_folder,is_correct,confidence,response_time_s,e2e_ms,selected_est_latency_s,success,stop_reason,qps_est,alpha,alpha_mode
13,REQ-00010,power_of_two_choices,"['mobilenet_v3_small', 'resnet50', 'resnet34']",['mobilenet_v3_small'],snail,n01944390,1,0.9254665970802307,18.26806092262268,18246.748125180602,3.500088744834638,True,early_exit_first_finished_pass=mobilenet_v3_small,1.6,0.8466666666666667,adaptive
13,REQ-00016,sequential,"['vit_b_16', 'resnet101', 'resnet34']",['vit_b_16'],banded_gecko,n01675722,1,0.9019160270690918,4.019861936569214,3995.349584147334,0.6214965979587277,True,early_exit_first_pass=vit_b_16,2.0,0.8111111111111111,adaptive
14,REQ-00036,mode_s,"['resnet34', 'resnet18', 'mobilenet_v3_small']","['resnet34', 'resnet18', 'mobilenet_v3_small']",garden_spider,n01773797,1,1.0,30.017423152923584,29967.855625320226,2.8055292567811687,True,mode_s_executed,1.6,0.8466666666666667,adaptive
14,REQ-00013,power_of_two_choices,"['mobilenet_v3_small', 'resnet50', 'resnet34']",['mobilenet_v3_small'],red-backed_sandpiper,n02027492,1,0.98676598072052,25.746398210525513,25726.822416763753,4.515895361578642,True,early_exit_first_finished_pass=mobilenet_v3_small,2.2,0.7933333333333333,adaptive
14,REQ-00013,sequential,"['resnet18', 'vit_b_16', 'resnet34']",['resnet18'],wallaby,n01877812,1,0.9959339499473572,7.99137806892395,7875.688875094056,0.500275530643058,True,early_exit_first_pass=resnet18,2.0,0.8111111111111111,adaptive
15,REQ-00012,mode_s,"['vit_b_16', 'resnet101', 'resnet50']","['vit_b_16', 'resnet101', 'resnet50']",spiny_lobster,n01984695,1,1.0,44.64356517791748,44597.98874985427,1.5690594969432223,True,mode_s_executed,1.4,0.8644444444444445,adaptive
15,REQ-00019,power_of_two_choices,"['vit_b_16', 'resnet101', 'resnet18']","['vit_b_16', 'resnet101']",terrapin,n01667778,1,1.0,25.621304035186768,25469.04587512836,1.3210660459292771,True,"early_exit_aggregate_pass_after_first_batch=['vit_b_16', 'resnet101']",3.0,0.7222222222222222,adaptive
15,REQ-00007,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']","['mobilenet_v3_small', 'resnet18']",rock_crab,n01978455,1,0.686884958784852,11.569626092910767,11292.962166946381,0.17653600939074782,True,deadline_stop_before_resnet34,1.6,0.8466666666666667,adaptive
16,REQ-00037,mode_s,"['resnet34', 'resnet18', 'mobilenet_v3_small']","['resnet34', 'resnet18', 'mobilenet_v3_small']",spiny_lobster,n01984695,1,0.7073141881835404,31.18506407737732,31164.588666986674,2.8986732837114415,True,mode_s_executed,1.6,0.8466666666666667,adaptive
16,REQ-00024,power_of_two_choices,"['vit_b_16', 'resnet34', 'resnet18']",['vit_b_16'],sea_snake,n01751748,1,0.9448289275169373,25.264718294143677,25239.0967910178,3.4435407691363755,True,early_exit_first_finished_pass=vit_b_16,3.0,0.7222222222222222,adaptive
16,REQ-00008,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']","['mobilenet_v3_small', 'resnet18']",wolf_spider,n01775062,1,1.0,11.686018943786621,11317.036292050034,0.17420348370079164,True,early_exit_with_aggregation_at_resnet18,1.6,0.8466666666666667,adaptive
17,REQ-00011,mode_s,"['vit_b_16', 'resnet101', 'resnet50']","['vit_b_16', 'resnet101', 'resnet50']",ptarmigan,n01796340,1,1.0,46.88077473640442,46836.630708072335,1.4849734588099266,True,mode_s_executed,1.4,0.8644444444444445,adaptive
17,REQ-00015,power_of_two_choices,"['mobilenet_v3_small', 'resnet50', 'resnet34']",['mobilenet_v3_small'],bee_eater,n01828970,1,0.9996775388717651,31.086071014404297,30975.22029094398,4.739829714638457,True,early_exit_first_finished_pass=mobilenet_v3_small,2.6,0.7577777777777778,adaptive
17,REQ-00006,sequential,"['mobilenet_v3_small', 'resnet18', 'resnet34']","['mobilenet_v3_small', 'resnet18', 'resnet34']",wolf_spider,n01775062,1,1.0,12.828406810760498,12813.924374990165,0.17653600939074782,True,ran_all,1.4,0.8644444444444445,adaptive
18,REQ-00039,mode_s,"['resnet34', 'resnet18', 'mobilenet_v3_small']","['resnet34', 'resnet18', 'mobilenet_v3_small']",water_ouzel,n01601694,1,1.0,34.049755811691284,34017.16849999502,2.9918173106417147,True,mode_s_executed,1.2,0.8822222222222222,adaptive
18,REQ-00014,power_of_two_choices,"['mobilenet_v3_small', 'resnet50', 'resnet34']","['mobilenet_v3_small', 'resnet50']",tailed_frog,n01644900,1,1.0,33.215254068374634,33178.629875183105,4.85630712318539,True,"early_exit_aggregate_pass_after_first_batch=['mobilenet_v3_small', 'resnet50']",2.4,0.7755555555555556,adaptive
18,REQ-00032,sequential,"['resnet101', 'resnet50', 'resnet34']",['resnet101'],black_swan,n01860187,1,0.9999440908432007,2.518515110015869,2462.6955408602953,0.8866784659534179,True,early_exit_first_pass=resnet101,2.6,0.7577777777777778,adaptive
19,REQ-00038,mode_s,"['resnet34', 'resnet18', 'mobilenet_v3_small']","['resnet34', 'resnet18', 'mobilenet_v3_small']",sea_snake,n01751748,1,1.0,34.71974802017212,34542.253708001226,3.0849613375719884,True,mode_s_executed,1.4,0.8644444444444445,adaptive
19,REQ-00017,power_of_two_choices,['mobilenet_v3_small'],['mobilenet_v3_small'],hermit_crab,n01986214,1,0.7533812522888184,33.17137694358826,33147.31641719118,12.169504959492457,True,ran_all,3.0,0.7222222222222222,adaptive
19,REQ-00022,sequential,"['resnet34', 'resnet50', 'vit_b_16']",['resnet34'],bustard,n02018795,1,0.937575101852417,9.54617714881897,9098.649499937892,0.9063662384031055,True,early_exit_first_pass=resnet34,2.0,0.8111111111111111,adaptive
20,REQ-00040,mode_s,"['resnet34', 'resnet18', 'mobilenet_v3_small']","['resnet34', 'resnet18', 'mobilenet_v3_small']",redshank,n02028035,1,1.0,38.088387966156006,37964.972665999085,3.1781053645022608,True,mode_s_executed,1.4,0.8644444444444445,adaptive
20,REQ-00012,power_of_two_choices,"['mobilenet_v3_small', 'resnet50', 'resnet34']","['mobilenet_v3_small', 'resnet50']",stingray,n01498041,1,1.0,34.49310302734375,34471.70150000602,3.8102396965288343,True,"early_exit_aggregate_pass_after_first_batch=['mobilenet_v3_small', 'resnet50']",2.0,0.8111111111111111,adaptive
20,REQ-00023,sequential,"['resnet34', 'resnet50', 'vit_b_16']",['resnet34'],whiptail,n01693334,0,0.5124287009239197,8.60538101196289,8358.813541941345,0.8569123597819942,True,deadline_stop_before_resnet50,1.8,0.8288888888888889,adaptive
21,REQ-00013,mode_s,"['vit_b_16', 'resnet101', 'resnet50']","['vit_b_16', 'resnet101', 'resnet50']",boa_constrictor,n01742172,1,1.0,53.36543011665344,53342.816333286464,1.7905362218967666,True,mode_s_executed,1.4,0.8644444444444445,adaptive
21,REQ-00028,power_of_two_choices,"['vit_b_16', 'resnet34', 'resnet18']",['vit_b_16'],water_ouzel,n01601694,1,0.9058651328086853,32.121866941452026,31716.53658291325,3.08458785398231,True,early_exit_first_finished_pass=vit_b_16,3.6,0.6688888888888889,adaptive
21,REQ-00015,sequential,"['vit_b_16', 'resnet101', 'resnet34']","['vit_b_16', 'resnet101']",barn_spider,n01773549,1,1.0,13.122682094573975,13106.63904203102,0.5651270366544331,True,deadline_stop_before_resnet34,2.0,0.8111111111111111,adaptive
22,REQ-00041,mode_s,"['resnet34', 'resnet18', 'mobilenet_v3_small']","['resnet34', 'resnet18', 'mobilenet_v3_small']",great_grey_owl,n01622779,1,1.0,39.083821058273315,39068.27245885506,3.2712493914325345,True,mode_s_executed,1.6,0.8466666666666667,adaptive
22,REQ-00020,power_of_two_choices,"['vit_b_16', 'resnet34', 'resnet18']","['vit_b_16', 'resnet34']",red-breasted_merganser,n02037110,0,0.5896592467900048,34.859633922576904,34831.41733286902,4.8150717866070325,True,deadline_stop_before_resnet18,2.6,0.7577777777777778,adaptive
22,REQ-00021,sequential,"['resnet50', 'vit_b_16', 'resnet101']",['resnet50'],chambered_nautilus,n01968897,1,0.9999954700469971,10.86194896697998,10725.34624999389,0.6189251838298034,True,early_exit_first_pass=resnet50,1.8,0.8288888888888889,adaptive
23,REQ-00043,mode_s,"['resnet34', 'resnet18', 'mobilenet_v3_small']","['resnet34', 'resnet18', 'mobilenet_v3_small']",banded_gecko,n01675722,1,1.0,38.29482889175415,38271.3543754071,3.8000038072418145,True,mode_s_executed,1.8,0.8288888888888889,adaptive
23,REQ-00021,power_of_two_choices,"['vit_b_16', 'resnet34', 'resnet18']","['vit_b_16', 'resnet34']",goldfinch,n01531178,1,1.0,34.81740736961365,34696.690000128,4.253803304516503,True,"early_exit_aggregate_pass_after_first_batch=['vit_b_16', 'resnet34']",2.8,0.74,adaptive
23,REQ-00024,sequential,"['resnet34', 'resnet101', 'resnet50']",['resnet34'],wombat,n01883070,1,0.99894779920578,9.890202760696411,9748.554625082761,0.8302834977079837,True,early_exit_first_pass=resnet34,2.0,0.8111111111111111,adaptive
24,REQ-00042,mode_s,"['resnet34', 'resnet18', 'mobilenet_v3_small']","['resnet34', 'resnet18', 'mobilenet_v3_small']",nematode,n01930112,1,0.7585126281890896,39.32949614524841,39314.39037481323,3.364393418362808,True,mode_s_executed,1.8,0.8288888888888889,adaptive
24,REQ-00023,power_of_two_choices,"['vit_b_16', 'resnet34', 'resnet18']","['vit_b_16', 'resnet34']",lorikeet,n01820546,1,1.0,36.84319806098938,36826.46887516603,3.6360837515155047,True,"early_exit_aggregate_pass_after_first_batch=['vit_b_16', 'resnet34']",2.8,0.74,adaptive
24,REQ-00019,sequential,"['vit_b_16', 'resnet101', 'resnet34']","['vit_b_16', 'resnet101']",garden_spider,n01773797,1,1.0,12.069494009017944,12048.62045776099,0.7142750003322044,True,deadline_stop_before_resnet34,1.6,0.8466666666666667,adaptive
25,REQ-00014,mode_s,"['vit_b_16', 'resnet101', 'resnet50']","['vit_b_16', 'resnet101', 'resnet50']",red-backed_sandpiper,n02027492,1,1.0,55.65755915641785,55640.126791317016,1.9231760388592565,True,mode_s_executed,1.4,0.8644444444444445,adaptive
25,REQ-00030,power_of_two_choices,"['vit_b_16', 'resnet34', 'resnet18']",['vit_b_16'],chiton,n01955084,1,0.901211678981781,32.951987981796265,32919.40883407369,2.8806833158761247,True,early_exit_first_finished_pass=vit_b_16,2.0,0.8111111111111111,adaptive
25,REQ-00018,sequential,"['vit_b_16', 'resnet101', 'resnet34']","['vit_b_16', 'resnet101']",hornbill,n01829413,1,1.0,13.429879903793335,13396.546083968133,0.6506203306952241,True,early_exit_with_aggregation_at_resnet101,1.6,0.8466666666666667,adaptive
26,REQ-00015,mode_s,"['vit_b_16', 'resnet101', 'resnet50']","['vit_b_16', 'resnet101', 'resnet50']",chiton,n01955084,1,1.0,56.52561902999878,56511.05787511915,2.01160258350092,True,mode_s_executed,1.6,0.8466666666666667,adaptive
26,REQ-00022,power_of_two_choices,"['vit_b_16', 'resnet34', 'resnet18']","['vit_b_16', 'resnet34']",sea_slug,n01950731,1,1.0,39.404515981674194,39203.97920766845,4.26171335145542,True,"early_exit_aggregate_pass_after_first_batch=['vit_b_16', 'resnet34']",3.0,0.7222222222222222,adaptive
26,REQ-00020,sequential,"['vit_b_16', 'resnet101', 'resnet34']","['vit_b_16', 'resnet101']",albatross,n02058221,1,1.0,12.372113227844238,12294.517583679408,0.7331327044002791,True,early_exit_with_aggregation_at_resnet101,1.6,0.8466666666666667,adaptive
27,REQ-00045,mode_s,"['resnet18', 'mobilenet_v3_small']","['resnet18', 'mobilenet_v3_small']",lorikeet,n01820546,1,1.0,38.04444694519043,38018.470332957804,2.4264634071677205,True,mode_s_executed,1.0,0.9,adaptive
27,REQ-00016,power_of_two_choices,"['resnet18', 'resnet50']","['resnet18', 'resnet50']",terrapin,n01667778,1,1.0,41.619664907455444,41514.53245803714,5.756886902072947,True,"early_exit_aggregate_pass_after_first_batch=['resnet18', 'resnet50']",2.8,0.74,adaptive
27,REQ-00026,sequential,"['resnet34', 'resnet101', 'resnet50']",['resnet34'],lorikeet,n01820546,1,0.9979857206344604,11.542804956436157,11505.602749995887,0.8190497001487936,True,early_exit_first_pass=resnet34,2.4,0.7755555555555556,adaptive
28,REQ-00044,mode_s,"['resnet18', 'mobilenet_v3_small']","['resnet18', 'mobilenet_v3_small']",kite,n01608432,1,1.0,41.008098125457764,40986.779207829386,2.594508397028866,True,mode_s_executed,1.8,0.8288888888888889,adaptive
28,REQ-00025,power_of_two_choices,"['vit_b_16', 'resnet34', 'resnet18']","['vit_b_16', 'resnet34']",redshank,n02028035,1,1.0,43.15245795249939,43033.502500038594,3.295542904383479,True,"early_exit_aggregate_pass_after_first_batch=['vit_b_16', 'resnet34']",3.2,0.7044444444444444,adaptive
28,REQ-00029,sequential,"['resnet34', 'resnet101', 'resnet50']",['resnet34'],komodo_dragon,n01695060,1,0.9278885722160339,10.944937944412231,10925.80712493509,0.8021990038100222,True,early_exit_first_pass=resnet34,2.4,0.7755555555555556,adaptive
29,REQ-00047,mode_s,"['resnet18', 'mobilenet_v3_small']","['resnet18', 'mobilenet_v3_small']",flamingo,n02007558,1,1.0,38.794392824172974,38773.81608309224,2.4588862118253902,True,mode_s_executed,1.4,0.8644444444444445,adaptive
29,REQ-00026,power_of_two_choices,"['vit_b_16', 'resnet34', 'resnet18']","['vit_b_16', 'resnet34']",indigo_bunting,n01537544,1,1.0,44.505051136016846,44484.109584242105,3.1787266219689445,True,"early_exit_aggregate_pass_after_first_batch=['vit_b_16', 'resnet34']",3.4,0.6866666666666666,adaptive
29,REQ-00046,sequential,"['vit_b_16', 'resnet50', 'mobilenet_v3_small']",['vit_b_16'],redshank,n02028035,1,0.9032116532325745,1.5488619804382324,1337.4015842564404,2.176681266075424,True,early_exit_first_pass=vit_b_16,1.8,0.8288888888888889,adaptive
30,REQ-00049,mode_s,"['resnet18', 'mobilenet_v3_small']","['resnet18', 'mobilenet_v3_small']",garter_snake,n01735189,1,1.0,37.87341094017029,37855.65087478608,2.49130901648306,True,mode_s_executed,1.2,0.8822222222222222,adaptive
30,REQ-00027,power_of_two_choices,"['vit_b_16', 'resnet34', 'resnet18']","['vit_b_16', 'resnet34']",flatworm,n01924916,1,1.0,49.74640989303589,49581.369374878705,3.08458785398231,True,"early_exit_aggregate_pass_after_first_batch=['vit_b_16', 'resnet34']",3.6,0.6688888888888889,adaptive
30,REQ-00025,sequential,"['resnet34', 'resnet101', 'resnet50']",['resnet34'],sea_anemone,n01914609,1,0.9444320797920227,13.491537809371948,13459.970332682133,0.8232623742334898,True,early_exit_first_pass=resnet34,2.2,0.7933333333333333,adaptive
31,REQ-00046,mode_s,"['resnet18', 'mobilenet_v3_small']","['resnet18', 'mobilenet_v3_small']",sea_slug,n01950731,1,1.0,40.41096615791321,40391.72966685146,2.4426748094965554,True,mode_s_executed,1.2,0.8822222222222222,adaptive
31,REQ-00029,power_of_two_choices,"['vit_b_16', 'resnet34', 'resnet18']","['vit_b_16', 'resnet34']",oystercatcher,n02037110,1,1.0,50.204211950302124,49665.7147500664,2.923110353703964,True,"early_exit_aggregate_pass_after_first_batch=['vit_b_16', 'resnet34']",3.4,0.6866666666666666,adaptive
31,REQ-00027,sequential,"['resnet34', 'resnet101', 'resnet50']",['resnet34'],wolf_spider,n01775062,1,0.9645914435386658,12.834191799163818,12814.171000383794,0.816241250758996,True,early_exit_first_pass=resnet34,2.4,0.7755555555555556,adaptive
32,REQ-00016,mode_s,"['vit_b_16', 'resnet101', 'resnet34']","['vit_b_16', 'resnet101', 'resnet34']",thunder_snake,n01728572,1,1.0,59.20789194107056,59188.289042096585,2.981913405919597,True,mode_s_executed,1.2,0.8822222222222222,adaptive
32,REQ-00039,power_of_two_choices,"['resnet101', 'resnet34', 'resnet18']",['resnet101'],drake,n01847000,1,0.9973860383033752,38.48133707046509,38461.58379083499,2.989640992602706,True,early_exit_first_finished_pass=resnet101,0.6,0.9,adaptive
32,REQ-00028,sequential,"['resnet34', 'resnet101', 'resnet50']",['resnet34'],sea_slug,n01950731,1,0.9191992878913879,14.548101902008057,14489.698042161763,0.8142352154805693,True,early_exit_first_pass=resnet34,2.4,0.7755555555555556,adaptive
33,REQ-00052,mode_s,"['resnet18', 'mobilenet_v3_small']","['resnet18', 'mobilenet_v3_small']",green_snake,n01729977,1,1.0,40.57059097290039,40245.90829201043,2.5399432234695647,True,mode_s_executed,1.8,0.8288888888888889,adaptive
33,REQ-00033,power_of_two_choices,"['vit_b_16', 'resnet34', 'resnet18']","['vit_b_16', 'resnet34']",ant,n01776313,0,0.56993397441668,47.72613310813904,47599.26083404571,2.8362826805077685,True,deadline_stop_before_resnet18,1.4,0.8644444444444445,adaptive
33,REQ-00034,sequential,"['resnet50', 'resnet34', 'mobilenet_v3_small']",['resnet50'],black_widow,n01774384,1,0.990741491317749,11.240115880966187,11147.893957793713,1.0335458576034449,True,early_exit_first_pass=resnet50,2.0,0.8111111111111111,adaptive
34,REQ-00050,mode_s,"['resnet18', 'mobilenet_v3_small']","['resnet18', 'mobilenet_v3_small']",tick,n01776313,1,0.7597165376053397,41.22393083572388,41180.32450042665,2.507520418811895,True,mode_s_executed,1.4,0.8644444444444445,adaptive
34,REQ-00037,power_of_two_choices,"['resnet101', 'resnet34', 'resnet18']",['resnet101'],stingray,n01498041,1,0.9657591581344604,41.52028489112854,41505.579584278166,2.866927864827045,True,early_exit_first_finished_pass=resnet101,0.8,0.9,adaptive
